rank,model_run,model,run,score_trimmed_aoc,mean_aoc,median_aoc,subject_sd,subject_mad,n_subjects,n_targets,chance_level,trim_proportion,results_dir
23,ridge_0.3-40.0hz_notch50_no_ica,ridge,0.3-40.0hz_notch50_no_ica,1.3894218500797442,1.51946725317693,1.3882575757575748,0.9175255740512409,0.6185984848484846,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_no_ica/results_decoding
24,svm_notch50+100_ica,svm,notch50+100_ica,1.3836822169059004,1.4855315249266858,1.1991666666666663,1.1588360667758875,0.7079166666666666,31,5,33.33,0.2,data/derivatives__notch50+100_ica/results_decoding
25,ridge_notch50+100_no_ica,ridge,notch50+100_no_ica,1.370348883572567,1.4259897360703802,1.3067045454545447,1.0145916567211064,0.7021212121212119,31,5,33.33,0.2,data/derivatives__notch50+100_no_ica/results_decoding
26,ridge_no_ica,ridge,no_ica,1.3673704146730454,1.4238819648093834,1.3072727272727267,1.0124950839114255,0.6940151515151516,31,5,33.33,0.2,data/derivatives__no_ica/results_decoding
27,svm_ica,svm,ica,1.3308393141945765,1.3949315738025407,1.2207954545454534,1.0159028598820727,0.7389393939393935,31,5,33.33,0.2,data/derivatives__ica/results_decoding
28,svm_0.3-40.0hz_notch50_ica,svm,0.3-40.0hz_notch50_ica,1.326134370015948,1.492923998044965,1.2295454545454534,0.9853623788630349,0.4617045454545461,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_ica/results_decoding
29,logreg_0.3-40.0hz_notch50_ica,logreg,0.3-40.0hz_notch50_ica,1.3153887559808606,1.5285276148582594,1.0822727272727257,0.9931766916623896,0.44685606060606187,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_ica/results_decoding
30,ridge_notch50+100_ica,ridge,notch50+100_ica,1.240715709728867,1.3052199413489727,0.9748863636363634,1.01343693684967,0.8081439393939387,31,5,33.33,0.2,data/derivatives__notch50+100_ica/results_decoding
31,ridge_ica,ridge,ica,1.2349720893141938,1.2837499999999988,0.9645075757575752,0.9726129193655321,0.6934469696969698,31,5,33.33,0.2,data/derivatives__ica/results_decoding
32,ridge_0.3-40.0hz_notch50_ica,ridge,0.3-40.0hz_notch50_ica,1.1900478468899514,1.3700977517106538,1.1246969696969689,0.8629169828510485,0.5008712121212122,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_ica/results_decoding
