subject,pair_id,status,pct_win,pct_loss,pct_draw,most_played,mid_played,least_played,switch_after_win,switch_after_lose,switch_after_draw
sub-01_p1,1,Winner,33.26359832635983,30.334728033472803,36.40167364016737,35.98326359832636,33.68200836820084,30.334728033472803,60.12658227848101,55.86206896551724,55.74712643678161
sub-01_p2,1,Loser,30.334728033472803,33.26359832635983,36.40167364016737,34.30962343096235,33.47280334728033,32.21757322175732,77.93103448275862,80.37974683544303,53.44827586206896
sub-02_p1,2,Loser,35.85746102449889,36.97104677060133,27.171492204899778,36.97104677060133,33.85300668151447,29.175946547884184,73.29192546583852,80.60606060606061,73.77049180327869
sub-02_p2,2,Winner,36.97104677060133,35.85746102449889,27.171492204899778,33.630289532293986,33.630289532293986,32.73942093541203,92.12121212121212,70.80745341614907,86.88524590163934
sub-03_p1,3,Winner,34.94736842105263,32.631578947368425,32.421052631578945,35.368421052631575,33.89473684210526,30.736842105263158,89.1566265060241,61.038961038961034,83.76623376623377
sub-03_p2,3,Loser,32.631578947368425,34.94736842105263,32.421052631578945,35.368421052631575,32.8421052631579,31.789473684210527,61.68831168831169,71.08433734939759,59.74025974025974
sub-04_p1,4,Loser,30.638297872340424,32.5531914893617,36.80851063829787,41.27659574468085,32.76595744680851,25.957446808510635,77.77777777777779,60.130718954248366,81.97674418604652
sub-04_p2,4,Winner,32.5531914893617,30.638297872340424,36.80851063829787,45.744680851063826,28.297872340425535,25.957446808510635,76.47058823529412,66.66666666666666,65.11627906976744
sub-05_p1,5,Winner,34.87394957983193,31.512605042016805,33.61344537815126,38.865546218487395,32.983193277310924,28.15126050420168,69.27710843373494,51.33333333333333,66.66666666666666
sub-05_p2,5,Loser,31.512605042016805,34.87394957983193,33.61344537815126,42.64705882352941,30.672268907563026,26.680672268907564,81.33333333333333,57.22891566265061,66.66666666666666
sub-06_p1,6,Winner,36.76470588235294,32.773109243697476,30.462184873949578,36.554621848739494,32.142857142857146,31.30252100840336,82.28571428571428,84.51612903225806,85.51724137931035
sub-06_p2,6,Loser,32.773109243697476,36.76470588235294,30.462184873949578,43.90756302521008,32.35294117647059,23.739495798319325,54.19354838709678,82.85714285714286,65.51724137931035
sub-07_p1,7,Winner,35.74468085106383,30.851063829787233,33.40425531914894,35.319148936170215,34.680851063829785,30.0,83.23353293413174,77.93103448275862,81.52866242038218
